label,frozen_depth,tuned_depth,scratch_depth,scratch_start,trainable_pct,elapsed_s,total_train_GFLOPs,id_val_bal_acc,ood_val_bal_acc,id_val_f1,ood_val_f1,id_ood_gap
S6,0,0,5,0,100.0,1294,7871475,0.22,0.08,0.201,0.066,0.14
T1S5,0,1,4,1,100.0,1299,7871475,0.263,0.08,0.241,0.071,0.183
T2S4,0,2,3,2,100.0,1300,7871475,0.406,0.19,0.356,0.161,0.216
T3S3,0,3,2,3,100.0,1315,7871475,0.513,0.278,0.47,0.24,0.236
T4S2,0,4,1,4,100.0,1286,7871475,0.558,0.329,0.504,0.268,0.229
T5S1,0,5,0,5,100.0,1300,7871475,0.653,0.339,0.603,0.294,0.313
F1S5,1,0,4,1,100.0,1291,7869376,0.22,0.08,0.192,0.07,0.14
F1T1S4,1,1,3,2,100.0,1293,7869376,0.35,0.193,0.322,0.159,0.157
F1T2S3,1,2,2,3,100.0,1307,7869376,0.466,0.302,0.429,0.262,0.164
F1T3S2,1,3,1,4,100.0,1295,7869376,0.521,0.35,0.467,0.311,0.172
F1T4S1,1,4,0,5,100.0,1289,7869376,0.624,0.363,0.554,0.304,0.261
F2S4,2,0,3,2,99.0,1295,7822144,0.328,0.179,0.305,0.155,0.149
F2T1S3,2,1,2,3,99.0,1284,7822144,0.427,0.282,0.372,0.24,0.145
F2T2S2,2,2,1,4,99.0,1297,7822144,0.498,0.337,0.462,0.279,0.161
F2T3S1,2,3,0,5,99.0,1302,7822144,0.583,0.34,0.528,0.28,0.243
F3S3,3,0,2,3,94.0,1236,7554496,0.393,0.221,0.354,0.182,0.172
F3T1S2,3,1,1,4,94.0,1250,7554496,0.455,0.26,0.397,0.231,0.195
F3T2S1,3,2,0,5,94.0,1232,7554496,0.522,0.301,0.464,0.25,0.221
F4S2,4,0,1,4,64.2,986,5994266,0.42,0.188,0.377,0.157,0.232
F4T1S1,4,1,0,5,64.2,992,5994266,0.502,0.202,0.433,0.166,0.3
F5S1,5,0,0,5,1.5,409,2704294,0.451,0.14,0.405,0.125,0.311
