config,frozen_depth,tuned_depth,scratch_depth,scratch_start,trainable_pct,epochs_completed,train_hours,inference_gflops,train_gflops,id_acc,id_bal_acc,id_f1,ood_acc,ood_bal_acc,ood_f1,gpu
F3T2S1,3,2,0,5,93.9,43.15,3.09,4.11,11.832,71.2,41.9,35.9,50.8,31.1,26.8,NVIDIA A100-SXM-64GB
F1T4S1,1,4,0,5,100.0,41.0,3.09,4.11,12.326,70.8,42.5,36.0,51.7,30.9,26.3,NVIDIA A100-SXM-64GB
F2T3S1,2,3,0,5,99.1,41.25,3.08,4.11,12.252,73.2,42.7,36.2,51.7,30.8,26.9,NVIDIA A100-SXM-64GB
F4T1S1,4,1,0,5,64.2,42.83,3.08,4.11,9.389,69.5,41.4,34.5,49.3,29.8,23.5,NVIDIA A100-SXM-64GB
F2T2S2,2,2,1,4,99.1,35.48,3.09,4.11,12.252,68.9,41.2,34.6,48.8,29.6,25.0,NVIDIA A100-SXM-64GB
T5S1,0,5,0,5,100.0,19.63,3.23,4.11,12.33,61.9,41.9,33.9,41.6,29.2,22.5,NVIDIA A100-SXM-64GB
F4S2,4,0,1,4,64.2,44.27,3.09,4.11,9.389,67.1,40.1,33.7,47.1,29.1,23.9,NVIDIA A100-SXM-64GB
T4S2,0,4,1,4,100.0,39.63,3.09,4.11,12.33,68.7,41.4,34.8,44.1,28.8,24.6,NVIDIA A100-SXM-64GB
F3T1S2,3,1,1,4,93.9,38.7,3.09,4.11,11.832,67.7,41.0,33.2,47.0,28.2,23.1,NVIDIA A100-SXM-64GB
F1T3S2,1,3,1,4,100.0,34.81,3.1,4.11,12.326,67.9,40.4,32.4,47.5,28.2,22.7,NVIDIA A100-SXM-64GB
F3S3,3,0,2,3,93.9,42.15,3.07,4.11,11.832,64.1,38.4,31.7,41.2,27.7,21.4,NVIDIA A100-SXM-64GB
F2T1S3,2,1,2,3,99.1,36.1,3.1,4.11,12.252,66.1,38.1,31.0,41.9,26.6,21.3,NVIDIA A100-SXM-64GB
F1T2S3,1,2,2,3,100.0,34.81,3.1,4.11,12.326,64.2,37.3,30.1,44.2,26.3,20.7,NVIDIA A100-SXM-64GB
T3S3,0,3,2,3,100.0,39.63,3.09,4.11,12.33,65.8,37.4,29.9,40.4,25.2,18.8,NVIDIA A100-SXM-64GB
F1T1S4,1,1,3,2,100.0,39.47,3.09,4.11,12.326,64.3,33.9,28.0,40.8,23.0,19.6,NVIDIA A100-SXM-64GB
T2S4,0,2,3,2,100.0,40.99,3.09,4.11,12.33,62.8,35.1,28.4,39.6,22.5,18.1,NVIDIA A100-SXM-64GB
F5S1,5,0,0,5,1.6,42.83,3.08,4.11,4.238,42.8,35.3,26.3,22.8,21.9,15.2,NVIDIA A100-SXM-64GB
F2S4,2,0,3,2,99.1,36.52,3.1,4.11,12.252,59.0,34.1,28.0,39.8,21.3,16.7,NVIDIA A100-SXM-64GB
T1S5,0,1,4,1,100.0,38.13,3.11,4.11,12.33,58.4,34.2,26.7,33.3,20.7,14.8,NVIDIA A100-SXM-64GB
F1S5,1,0,4,1,100.0,39.47,3.09,4.11,12.326,57.5,32.3,25.9,33.0,17.6,15.0,NVIDIA A100-SXM-64GB
S6,0,0,5,0,100.0,38.13,3.11,4.11,12.33,56.5,30.7,24.1,30.3,17.5,14.1,NVIDIA A100-SXM-64GB
