config,frozen_depth,tuned_depth,scratch_depth,scratch_start,trainable_pct,id_acc,id_bal_acc,id_f1,ood_acc,ood_bal_acc,ood_f1
T5S1,0,5,0,5,100.0,73.5,41.8,35.5,55.3,31.3,29.5
F3T2S1,3,2,0,5,93.9,71.2,41.9,35.9,50.8,31.1,26.8
F1T4S1,1,4,0,5,100.0,70.8,42.5,36.0,51.7,30.9,26.3
F2T3S1,2,3,0,5,99.1,73.2,42.7,36.2,51.7,30.8,26.9
F4T1S1,4,1,0,5,64.2,69.5,41.4,34.5,49.3,29.8,23.5
F2T2S2,2,2,1,4,99.1,68.9,41.2,34.6,48.8,29.6,25.0
F4S2,4,0,1,4,64.2,67.1,40.1,33.7,47.1,29.1,23.9
T4S2,0,4,1,4,100.0,68.7,41.4,34.8,44.1,28.8,24.6
F3T1S2,3,1,1,4,93.9,67.7,41.0,33.2,47.0,28.2,23.1
F1T3S2,1,3,1,4,100.0,67.9,40.4,32.4,47.5,28.2,22.7
F3S3,3,0,2,3,93.9,64.1,38.4,31.7,41.2,27.7,21.4
F2T1S3,2,1,2,3,99.1,66.1,38.1,31.0,41.9,26.6,21.3
F1T2S3,1,2,2,3,100.0,64.2,37.3,30.1,44.2,26.3,20.7
T3S3,0,3,2,3,100.0,65.8,37.4,29.9,40.4,25.2,18.8
F1T1S4,1,1,3,2,100.0,64.3,33.9,28.0,40.8,23.0,19.6
T2S4,0,2,3,2,100.0,62.8,35.1,28.4,39.6,22.5,18.1
F5S1,5,0,0,5,1.6,42.8,35.3,26.3,22.8,21.9,15.2
F2S4,2,0,3,2,99.1,59.0,34.1,28.0,39.8,21.3,16.7
T1S5,0,1,4,1,100.0,58.4,34.2,26.7,33.3,20.7,14.8
F1S5,1,0,4,1,100.0,57.5,32.3,25.9,33.0,17.6,15.0
S6,0,0,5,0,100.0,56.5,30.7,24.1,30.3,17.5,14.1
