family,config,blocks_transferred,frozen_depth,tuned_depth,scratch_depth,clean_acc,delta_clean,corrupt_acc,delta_corrupt
F/S,SSSS,0,0,0,4,73.7,0.0,58.9,0.0
F/S,FSSS,1,1,0,3,73.8,0.1,59.7,0.8
F/S,FFSS,2,2,0,2,73.0,-0.7,57.9,-1.0
F/S,FFFS,3,3,0,1,71.8,-1.9,56.4,-2.5
F/S,FFFF,4,4,0,0,73.5,-0.2,58.9,0.0
T/S,TSSS,1,0,1,3,73.3,-0.4,59.3,0.4
T/S,TTSS,2,0,2,2,73.6,-0.1,58.3,-0.6
T/S,TTTS,3,0,3,1,68.0,-5.7,53.3,-5.6
T/S,TTTT,4,0,4,0,73.6,-0.1,59.3,0.4
F/T/S,FTSS,2,1,1,2,73.2,-0.5,58.1,-0.8
F/T/S,FFTS,3,2,1,1,66.9,-6.8,52.2,-6.7
F/T/S,FTTS,3,1,2,1,68.2,-5.5,53.3,-5.6
F/T/S,FFFT,4,3,1,0,73.9,0.2,59.0,0.1
F/T/S,FFTT,4,2,2,0,73.6,-0.1,59.0,0.1
F/T/S,FTTT,4,1,3,0,73.3,-0.4,59.7,0.8
