family,config,blocks_transferred,frozen_depth,tuned_depth,scratch_depth,clean_acc,delta_clean,corrupt_acc,delta_corrupt
F/S,SSSS,0,0,0,4,73.7,0.0,58.9,0.0
F/S,FSSS,1,1,0,3,74.0,0.3,60.1,1.2
F/S,FFSS,2,2,0,2,73.3,-0.4,57.7,-1.2
F/S,FFFS,3,3,0,1,71.4,-2.3,56.6,-2.2
F/S,FFFF,4,4,0,0,53.1,-20.6,38.9,-20.0
T/S,TSSS,1,0,1,3,74.2,0.5,59.4,0.5
T/S,TTSS,2,0,2,2,73.6,-0.1,58.6,-0.3
T/S,TTTS,3,0,3,1,69.0,-4.7,54.1,-4.8
T/S,TTTT,4,0,4,0,74.1,0.4,59.6,0.7
F/T/S,FTSS,2,1,1,2,73.1,-0.6,57.8,-1.1
F/T/S,FFTS,3,2,1,1,67.8,-5.9,52.9,-6.0
F/T/S,FTTS,3,1,2,1,69.2,-4.5,54.0,-4.9
F/T/S,FFFT,4,3,1,0,71.9,-1.8,57.4,-1.5
F/T/S,FFTT,4,2,2,0,73.8,0.1,59.0,0.1
F/T/S,FTTT,4,1,3,0,74.2,0.5,60.1,1.2
